Position_Eng_Srce;Sector_1;Sector_2;Occupation_Category;Occupation_Subcategory;Occupation_Detail;Typology_Source
Dairy keeper;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Manufacturer;;Both
Dairymen;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Dean;;;Professionals and senior executives;Educational executive;Dean;Typo_positions
Dentist;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;Both
Dentists;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;SMC
Dept. Manager;;;Middle managers;Manager;Department manager;Typo_positions
Deputy Commissioner;;;Professionals and senior executives;Government and administrative official;Municipal official;Typo_positions
Diplomat;ADMINISTRATION;GOVERNMENT;Professionals and senior executives;Senior administrative executives;;Both
Diplomats;ADMINISTRATION;GOVERNMENT;Professionals and senior executives;Senior administrative executives;;SMC
Director;;;Professionals and senior executives;Medical executive;Director;Typo_positions
Director of Field Program;;;Professionals and senior executives;Organization executive;Director;Typo_positions
Director of Personnel;;;Professionals and senior executives;Business executive;Director;Typo_positions
Director of Physical Education;;;Professionals and senior executives;Educational executive;Director;Typo_positions
Director of Sales;;;Professionals and senior executives;Business executive;Director;Typo_positions
Disinfector;TRADE;RETAIL TRADE;Workers;Skilled workers;;Both
Distiller;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
District Commissioner;;;Professionals and senior executives;Government and administrative official;Commissioner;Typo_positions
District Governor (Past);;;Professionals and senior executives;Government and administrative official;Governor;Typo_positions
District Manager;;;Middle managers;Manager;Local manager;Typo_positions
District Sales Manager;;;Middle managers;Manager;Local manager;Typo_positions
Diver;MISCELLANEOUS CATEGORIES;SHIPPING;Workers;Skilled workers;;Both
Dock master;SERVICE;SHIPPING;Middle managers;Technicians;;Both
Draper and milliner;TRADE;TEXTILE INDUSTRY;Trade and Industry Business Owners;Small traders;;Both
Drapers;TRADE;TEXTILE INDUSTRY;Trade and Industry Business Owners;Small traders;;SMC
Draughtsman;INDUSTRY;PAPER AND PRINTING;Middle managers;Technicians;;Both
Dried food dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;Both
Dried food dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;SMC
