Position_Zh_Srce;Position_Eng;Year;Source;Eng_Source
總行視察;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總行稽核;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
視察;inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總發行;issuer;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
記者;journalist;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
編審部部長;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
上海分公司司理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
上海分公司經理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
上海分行司理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
上海分行經理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
上海批發所經理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
上海經理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
事業處處長;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
人事科科長;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
代滬行經理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
信託部代理保險處經理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
信託部經理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
儲蓄處經理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
儲蓄部經理;manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
