Position_Eng_Srce;Source
Acting Assistant Chinese Secretary;Asia Directory & Chronicle
Acting Assistant Colonial Secretary;Asia Directory & Chronicle
Acting Assistant Director General;Asia Directory & Chronicle
Acting Assistant Director of Public Works;Asia Directory & Chronicle
Acting Assistant Engineer;Asia Directory & Chronicle
Acting Assistant Harbour Master;Asia Directory & Chronicle
Acting Assistant Judge;Asia Directory & Chronicle
Acting Assistant Manager;Asia Directory & Chronicle
Acting Assistant Postal Officer;Asia Directory & Chronicle
Acting Assistant Registrar-General;Asia Directory & Chronicle
Acting Assistant Secretary;Asia Directory & Chronicle
Acting Assistant Staff and Private Secretary;Asia Directory & Chronicle
Acting Assistant Superintendent;Asia Directory & Chronicle
Acting Assistant Superintendent Engineer;Asia Directory & Chronicle
Acting Assistant Surgeon;Asia Directory & Chronicle
Acting Assistant Tidesurveyor;Asia Directory & Chronicle
Acting Assistant To Postal Secretary;Asia Directory & Chronicle
Acting Assistant To Statistical Secretary;Asia Directory & Chronicle
Acting Assistant To the Postal Secretary;Asia Directory & Chronicle
Acting Assitant Marine Superintendent;Asia Directory & Chronicle
Acting Audit Secretary;Asia Directory & Chronicle
Acting Auditor;Asia Directory & Chronicle
Acting Boat Officer;Asia Directory & Chronicle
Acting Boatswain;Asia Directory & Chronicle
Acting Branch Manager;Asia Directory & Chronicle
Acting Consul;Asia Directory & Chronicle
Acting Captain;Asia Directory & Chronicle
Acting Captain Lightship;Asia Directory & Chronicle
Acting Captain Superintendent;Asia Directory & Chronicle
Acting Chairman;Asia Directory & Chronicle
Acting Chancelier;Asia Directory & Chronicle
Acting Charge d'Affaires;Asia Directory & Chronicle
Acting Chc.;Asia Directory & Chronicle
Acting Chief Accountant;Asia Directory & Chronicle
Acting Chief Appraiser;Asia Directory & Chronicle
Acting Chief Clerk;Asia Directory & Chronicle
Acting Chief Clerk and Official Receiver;Asia Directory & Chronicle
Acting Chief Inspector;Asia Directory & Chronicle
Acting Chief Inspector of Police;Asia Directory & Chronicle
Acting Chief Justice;Asia Directory & Chronicle
Acting Chief Manager;Asia Directory & Chronicle
Acting Chief of Secretariat;Asia Directory & Chronicle
Acting Chief Officer;Asia Directory & Chronicle
Acting Chief Secretary;Asia Directory & Chronicle
Acting Chinese Secretary;Asia Directory & Chronicle
Acting Chinese Secretary Inspectorate General;Asia Directory & Chronicle
Acting Clerk;Asia Directory & Chronicle
Acting Co-Auditor;Asia Directory & Chronicle
Acting Coast Inspector;Asia Directory & Chronicle
Acting Coast Inspector and Harbour Master;Asia Directory & Chronicle
Acting Colonial Secretary;Asia Directory & Chronicle
Acting Colonial Surgeon;Asia Directory & Chronicle
Acting Colonial Treasurer;Asia Directory & Chronicle
Acting Commandant;Asia Directory & Chronicle
Acting Commander;Asia Directory & Chronicle
Acting Commissioner;Asia Directory & Chronicle
Acting Constable;Asia Directory & Chronicle
Acting Consul and Chancelier;Asia Directory & Chronicle
Acting Consul and Interpreter;Asia Directory & Chronicle
Acting Consul for Austria-Hungary;Asia Directory & Chronicle
Acting Consul for Denmark;Asia Directory & Chronicle
Acting Consul for Denmark and Manager;Asia Directory & Chronicle
Acting Consul for France;Asia Directory & Chronicle
Acting Consul for Germany;Asia Directory & Chronicle
