Position_Eng_Srce;Source
Storekeeper and Commission Agent;Asia Directory & Chronicle
Storekeeper and Drill Instructor;Asia Directory & Chronicle
Storekeeper and Hotelkeeper;Asia Directory & Chronicle
Storekeeper and Proprietor;Asia Directory & Chronicle
Storekeeper and Watchmaker;Asia Directory & Chronicle
Storeman;Asia Directory & Chronicle
Storeofficer In Charge Victualling Department;Asia Directory & Chronicle
Stores Accountant;Asia Directory & Chronicle
Stores Assistant;Asia Directory & Chronicle
Stores Superintendent;Asia Directory & Chronicle
Structural Engineer;Asia Directory & Chronicle
Student;Asia Directory & Chronicle
Student Interpreter;Asia Directory & Chronicle
Sub Accountant;Asia Directory & Chronicle
Sub Agent;Asia Directory & Chronicle
Sub Editor and Reporter;Asia Directory & Chronicle
Sub Lieutenant;Asia Directory & Chronicle
Sub Manager;Asia Directory & Chronicle
Sub-Accountant;Asia Directory & Chronicle
Sub-Agent;Asia Directory & Chronicle
Sub-Chefe;Asia Directory & Chronicle
Sub-Chief and Acting Inspector;Asia Directory & Chronicle
Sub-Chief of Police;Asia Directory & Chronicle
Sub-Collector;Asia Directory & Chronicle
Sub-Conductor;Asia Directory & Chronicle
Sub-Director;Asia Directory & Chronicle
Sub-Editor;Asia Directory & Chronicle
Sub-Editor and General Manager;Asia Directory & Chronicle
Sub-Editor and Reporter;Asia Directory & Chronicle
Sub-Engineer;Asia Directory & Chronicle
Sub-Inspector;Asia Directory & Chronicle
Sub-Lieutenant;Asia Directory & Chronicle
Sub-Manager;Asia Directory & Chronicle
Sub-Manager for China;Asia Directory & Chronicle
Sub-Mining Storekeeper;Asia Directory & Chronicle
Sub-Officer;Asia Directory & Chronicle
Sub-Station Attendant;Asia Directory & Chronicle
Sub-Warden;Asia Directory & Chronicle
Subadar Major;Asia Directory & Chronicle
Substituto Procurador and Judge;Asia Directory & Chronicle
Sugar Boiler;Asia Directory & Chronicle
Superintendant;Asia Directory & Chronicle
Superintendent Accountant;Asia Directory & Chronicle
Superintendent and Chief Engineer;Asia Directory & Chronicle
Superintendent and Secretary;Asia Directory & Chronicle
Superintendent and Technical Expert;Asia Directory & Chronicle
Superintendent Crown Lands;Asia Directory & Chronicle
Superintendent d'Opio;Asia Directory & Chronicle
Superintendent Drawing Department;Asia Directory & Chronicle
Superintendent Electric Engineer;Asia Directory & Chronicle
Superintendent Electric Lighting;Asia Directory & Chronicle
Superintendent Engineer;Asia Directory & Chronicle
Superintendent Fitter;Asia Directory & Chronicle
Superintendent Godowns;Asia Directory & Chronicle
Superintendent Litter;Asia Directory & Chronicle
Superintendent Military Telegraph;Asia Directory & Chronicle
Superintendent Military Telegraphs;Asia Directory & Chronicle
Superintendent Mission House;Asia Directory & Chronicle
Superintendent Mission Press;Asia Directory & Chronicle
Superintendent Money Order Office;Asia Directory & Chronicle
Superintendent of Accounts;Asia Directory & Chronicle
Superintendent of Accounts, Correspondence and Works;Asia Directory & Chronicle
Superintendent of Cleansing;Asia Directory & Chronicle
Superintendent of Crown Lands;Asia Directory & Chronicle
Superintendent of English Studies;Asia Directory & Chronicle
Superintendent of Exchange;Asia Directory & Chronicle
Superintendent of Gaols;Asia Directory & Chronicle
Superintendent of Gas Fittings;Asia Directory & Chronicle
Superintendent of Government Garden;Asia Directory & Chronicle
Superintendent of Hospitals;Asia Directory & Chronicle
Superintendent of Installation;Asia Directory & Chronicle
Superintendent of Instrument Workshop;Asia Directory & Chronicle
Superintendent of Lighters;Asia Directory & Chronicle
Superintendent of Machinery;Asia Directory & Chronicle
Superintendent of Mails;Asia Directory & Chronicle
Superintendent of Milling Department;Asia Directory & Chronicle
Superintendent of Parks;Asia Directory & Chronicle
Superintendent of Parks and Open Spaces;Asia Directory & Chronicle
Superintendent of Police;Asia Directory & Chronicle
Superintendent of Roads and Police;Asia Directory & Chronicle
Superintendent of Stamps;Asia Directory & Chronicle
Superintendent of Stores;Asia Directory & Chronicle
Superintendent of Transport;Asia Directory & Chronicle
Superintendent of Transportion;Asia Directory & Chronicle
Superintendent of Victoria Goal;Asia Directory & Chronicle
Superintendent of Water Transport;Asia Directory & Chronicle
Superintendent of Works;Asia Directory & Chronicle
Superintendent Purser;Asia Directory & Chronicle
Superintendent Shipbuilder;Asia Directory & Chronicle
Superintendent Shipwright;Asia Directory & Chronicle
Superintendente;Asia Directory & Chronicle
Superintendents;Asia Directory & Chronicle
Superintending Carpenter;Asia Directory & Chronicle
Superintending Civil Engineer;Asia Directory & Chronicle
Superintending Clerk;Asia Directory & Chronicle
Superintending Clerk and Draftsman;Asia Directory & Chronicle
Superintending Engineer;Asia Directory & Chronicle
Superintending Purser;Asia Directory & Chronicle
Superintentent of Police;Asia Directory & Chronicle
Superior;Asia Directory & Chronicle
Superior General;Asia Directory & Chronicle
Superior of Sanitorium;Asia Directory & Chronicle
Superior-General;Asia Directory & Chronicle
Superioress;Asia Directory & Chronicle
Supernumerary Clerk;Asia Directory & Chronicle
Supervisor of Agents;Asia Directory & Chronicle
Supervisor of Works;Asia Directory & Chronicle
Surgeon and Acting Superintendent;Asia Directory & Chronicle
Surgeon and Medical Store-Keeper;Asia Directory & Chronicle
Surgeon Coronel In Charge;Asia Directory & Chronicle
Surgeon Dentist;Asia Directory & Chronicle
Surgeon Major;Asia Directory & Chronicle
Surgeon Major Officer In Charge;Asia Directory & Chronicle
Surgeon To Superintendency of Chinese Emigration;Asia Directory & Chronicle
Surgeon-Captain;Asia Directory & Chronicle
Surgeon-Major;Asia Directory & Chronicle
Surpervisor;Asia Directory & Chronicle
Surveillant;Asia Directory & Chronicle
Surveillant de Semaphore;Asia Directory & Chronicle
Surveyor;Asia Directory & Chronicle
Surveyor and Inspector of Machinery;Asia Directory & Chronicle
Surveyor-General;Asia Directory & Chronicle
Swedish Missionary;Asia Directory & Chronicle
Sworn Measurer;Asia Directory & Chronicle
Syndieo;Asia Directory & Chronicle
System Control Engineer;Asia Directory & Chronicle
Tailor;Asia Directory & Chronicle
Tailor and Clothier;Asia Directory & Chronicle
Tailor and Outfitter;Asia Directory & Chronicle
Tavern Keeper;Asia Directory & Chronicle
Tax Collector;Asia Directory & Chronicle
Tea Exporter;Asia Directory & Chronicle
Tea Inspector;Asia Directory & Chronicle
Tea Inspector and Chairman;Asia Directory & Chronicle
Tea Inspector and Jade Expert;Asia Directory & Chronicle
Tea Inspector and Merchant;Asia Directory & Chronicle
Tea Merchant;Asia Directory & Chronicle
Teacher of Navigation;Asia Directory & Chronicle
Teaelier;Asia Directory & Chronicle
Technical Adviser;Asia Directory & Chronicle
Technical Director;Asia Directory & Chronicle
Technical Engineer;Asia Directory & Chronicle
Technical Manager;Asia Directory & Chronicle
Technical Representative;Asia Directory & Chronicle
Technical Secretary;Asia Directory & Chronicle
Technical Staff;Asia Directory & Chronicle
Technician;Asia Directory & Chronicle
Telegraph Agent;Asia Directory & Chronicle
Telegraph Assistant;Asia Directory & Chronicle
Telegraph Engineer;Asia Directory & Chronicle
Telegraph Overseer;Asia Directory & Chronicle
Telegraph Sub-Engineer;Asia Directory & Chronicle
Telegraphist;Asia Directory & Chronicle
Temporary Surveyor;Asia Directory & Chronicle
Temporary-in-Charge;Asia Directory & Chronicle
Tenente;Asia Directory & Chronicle
Tenente Addido;Asia Directory & Chronicle
Tesoreiro Geral;Asia Directory & Chronicle
Thesourciro Geral Interim;Asia Directory & Chronicle
Thesourciro Geral Interino;Asia Directory & Chronicle
Thesoureiro;Asia Directory & Chronicle
Third Assistant;Asia Directory & Chronicle
Third Assistant Colonial Secretary;Asia Directory & Chronicle
Third Class Clerk;Asia Directory & Chronicle
Third Class Lightkeeper;Asia Directory & Chronicle
Third Clerk;Asia Directory & Chronicle
Third Engineer;Asia Directory & Chronicle
Third Lieutenant;Asia Directory & Chronicle
Third Master;Asia Directory & Chronicle
Third Officer;Asia Directory & Chronicle
Third Secretary;Asia Directory & Chronicle
Ticket Clerk;Asia Directory & Chronicle
Tide Surveyor;Asia Directory & Chronicle
Tide Surveyor and Harbour Master;Asia Directory & Chronicle
Tide Surveyor In Charge;Asia Directory & Chronicle
Tidewaiter;Asia Directory & Chronicle
Tidewaiter and Diver;Asia Directory & Chronicle
Tidewaiter In Charge;Asia Directory & Chronicle
Tiel;Asia Directory & Chronicle
Timber Merchant;Asia Directory & Chronicle
Timekeeper;Asia Directory & Chronicle
Tobacconist;Asia Directory & Chronicle
Toll Collector;Asia Directory & Chronicle
Torchon Lace Manufacturer;Asia Directory & Chronicle
Torpedo Gunner;Asia Directory & Chronicle
Torpedo Lieutenant;Asia Directory & Chronicle
Tracer;Asia Directory & Chronicle
Track Construction Superintendent;Asia Directory & Chronicle
Track Inspector;Asia Directory & Chronicle
Traction Chief;Asia Directory & Chronicle
Trade Commissioner;Asia Directory & Chronicle
Trade Commissioner Registrar;Asia Directory & Chronicle
Tradesman;Asia Directory & Chronicle
Traffic Agent;Asia Directory & Chronicle
Traffic Assistant;Asia Directory & Chronicle
Traffic Department;Asia Directory & Chronicle
Traffic Inspector;Asia Directory & Chronicle
Traffic Manager;Asia Directory & Chronicle
Traffic Motor Inspector;Asia Directory & Chronicle
Traffic Superintendent;Asia Directory & Chronicle
Trafic Inspector;Asia Directory & Chronicle
Trans. Officer;Asia Directory & Chronicle
Transport Mechanic;Asia Directory & Chronicle
Transport Officer;Asia Directory & Chronicle
Traveller;Asia Directory & Chronicle
Travelling Inspector;Asia Directory & Chronicle
Travelling Inspector of Accounts;Asia Directory & Chronicle
Travelling Representative;Asia Directory & Chronicle
Travelling Wireless Inspector;Asia Directory & Chronicle
Treasurer and Accountant;Asia Directory & Chronicle
Tuner;Asia Directory & Chronicle
Turbine House Superintendent;Asia Directory & Chronicle
Turnkey;Asia Directory & Chronicle
Typist;Asia Directory & Chronicle
Under-Viewer;Asia Directory & Chronicle
Undertaker;Asia Directory & Chronicle
Undertaker and Monumental Mason;Asia Directory & Chronicle
Undertaker and Municipal Sexton;Asia Directory & Chronicle
Unemployed;Asia Directory & Chronicle
Unter-Ingénieur;Asia Directory & Chronicle
Upholsterer;Asia Directory & Chronicle
Upper Yangtsze Pilot;Asia Directory & Chronicle
Upper Yangtze Pilot;Asia Directory & Chronicle
Us Naval Storekeeper;Asia Directory & Chronicle
Usher;Asia Directory & Chronicle
Usher of Chief Magistrate'S Office;Asia Directory & Chronicle
Vaccine Manufacturer and Bacteriologist;Asia Directory & Chronicle
Vehicle Inspector;Asia Directory & Chronicle
Veneer and Plywood Merchant;Asia Directory & Chronicle
Verger;Asia Directory & Chronicle
Verger and Clerk;Asia Directory & Chronicle
Verger and Sexton;Asia Directory & Chronicle
Veterinary Officer;Asia Directory & Chronicle
Veterinary Surgeon;Asia Directory & Chronicle
Vicaire Apostolique;Asia Directory & Chronicle
Vicar;Asia Directory & Chronicle
Vicar Apostolic;Asia Directory & Chronicle
Vicar-General;Asia Directory & Chronicle
Vice and Deputy Consul for United States of America;Asia Directory & Chronicle
Vice and Deputy Consul General for U.S.A.;Asia Directory & Chronicle
Vice and Deputy Consul General for United States of America;Asia Directory & Chronicle
Vice Consul;Asia Directory & Chronicle
Vice Prefect Apostolic;Asia Directory & Chronicle
Vice Presidente do Municipio;Asia Directory & Chronicle
Vice Procurator;Asia Directory & Chronicle
Vice-Admiral;Asia Directory & Chronicle
Vice-Chairman;Asia Directory & Chronicle
Vice-Chancellor;Asia Directory & Chronicle
Vice-Consul and Assessor;Asia Directory & Chronicle
Vice-Consul and Chancelier;Asia Directory & Chronicle
Vice-Consul and Consular Judge;Asia Directory & Chronicle
Vice-Consul and Inspector;Asia Directory & Chronicle
Vice-Consul and Interpreter;Asia Directory & Chronicle
Vice-Consul and Marshal;Asia Directory & Chronicle
Vice-Consul and Mixed Court Assessor;Asia Directory & Chronicle
Vice-Consul and Postmaster;Asia Directory & Chronicle
Vice-Director;Asia Directory & Chronicle
Vice-Prefect Apostolic;Asia Directory & Chronicle
Vice-President and Director;Asia Directory & Chronicle
Vice-President and General Manager;Asia Directory & Chronicle
Vice-President and Secretary;Asia Directory & Chronicle
Vice-President and Treasurer;Asia Directory & Chronicle
Vice-Principal;Asia Directory & Chronicle
Vice-Procurator;Asia Directory & Chronicle
Vice-Procureur;Asia Directory & Chronicle
Vice-Rector;Asia Directory & Chronicle
Vice-Reitor;Asia Directory & Chronicle
Viewer;Asia Directory & Chronicle
Visiting Medical Officer;Asia Directory & Chronicle
Visitor;Asia Directory & Chronicle
Voter;Asia Directory & Chronicle
Warde;Asia Directory & Chronicle
Warden;Asia Directory & Chronicle
Warder;Asia Directory & Chronicle
Wardmaster;Asia Directory & Chronicle
Warehouse Inspector;Asia Directory & Chronicle
Warehouseman;Asia Directory & Chronicle
Warrant Officer In Charge;Asia Directory & Chronicle
Watch Importer;Asia Directory & Chronicle
Watch Importer and Merchant;Asia Directory & Chronicle
Watchdealer;Asia Directory & Chronicle
Watchmaker;Asia Directory & Chronicle
Watchmaker and Photographer;Asia Directory & Chronicle
Watchmaker, Jeweller;Asia Directory & Chronicle
Watchman;Asia Directory & Chronicle
Water Inspector;Asia Directory & Chronicle
Waterside Foreman;Asia Directory & Chronicle
Waterworks Engineer;Asia Directory & Chronicle
Weaving Department;Asia Directory & Chronicle
Weaving Master;Asia Directory & Chronicle
Weigher;Asia Directory & Chronicle
Wesleyan Methodist Missionary;Asia Directory & Chronicle
Western Adviser;Asia Directory & Chronicle
Wharf Clerk and Godown;Asia Directory & Chronicle
Wharf Department;Asia Directory & Chronicle
Wharf Manager;Asia Directory & Chronicle
Wharf Superintendent;Asia Directory & Chronicle
Wharfinger;Asia Directory & Chronicle
Wharfinger (French Bund);Asia Directory & Chronicle
Wharfmaster;Asia Directory & Chronicle
Wholesale and Retail Chemist;Asia Directory & Chronicle
Wine and Spirit Merchant;Asia Directory & Chronicle
Wine Merchant;Asia Directory & Chronicle
Wine Merchant and Storekeeper;Asia Directory & Chronicle
Wine Merchant Importer and Exporter;Asia Directory & Chronicle
Wines and Spirits Merchant;Asia Directory & Chronicle
Wing Commander;Asia Directory & Chronicle
Wing Officer;Asia Directory & Chronicle
Wireless Instructor;Asia Directory & Chronicle
Wireless Superintendent;Asia Directory & Chronicle
Wireless Technician;Asia Directory & Chronicle
Wireless Travelling Inspector;Asia Directory & Chronicle
Woollen Merchant and Commission Agent;Asia Directory & Chronicle
Work Loan Officer;Asia Directory & Chronicle
Workman;Asia Directory & Chronicle
Workmaster;Asia Directory & Chronicle
Works Department;Asia Directory & Chronicle
